ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
80,65b0de4f9a16a5f2,02/10/2021,yes,1612939982114,1612940253487,2021-02-10 01:53:02,2021-02-10 01:57:33,L4_R2_deck,L1_Entrance_7,271,"['L4_R2_deck', 'L4_R2_LL_corridor', 'L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']"
81,65b0de4f9a16a5f2,02/10/2021,yes,1612944876206,1612945228137,2021-02-10 03:14:36,2021-02-10 03:20:28,L1_Entrance_7,L4_R2_LL,351,"['L1_Entrance_7', 'L1_CP_zone_1', 'L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_4', 'L1_R2_LL', 'L4_R2_LL']"
82,65b0de4f9a16a5f2,02/03/2021,yes,1612312093276,1612312511827,2021-02-02 19:28:13,2021-02-02 19:35:11,L4_R2_LL,L6_ELL,418,"['L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_5', 'L6_AAH_walkway', 'L6_CLL', 'L6_AAH_walkway', 'L6_ELL_corridor', 'L6_ELL']"
83,65b0de4f9a16a5f2,02/03/2021,yes,1612315458328,1612316629256,2021-02-02 20:24:18,2021-02-02 20:43:49,L6_ST_5,L4_R2_deck,1170,"['L6_ST_5', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL', 'L4_R2_LL_corridor', 'L4_R2_deck']"
84,65b0de4f9a16a5f2,02/11/2021,yes,1613002160978,1613003190247,2021-02-10 19:09:20,2021-02-10 19:26:30,L4_R2_LL,L1_Shop_walkway_3,1029,"['L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_CLL', 'L4_CLL', 'L3_CLL', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3']"
85,65b0de4f9a16a5f2,02/11/2021,yes,1613004999256,1613005105899,2021-02-10 19:56:39,2021-02-10 19:58:25,L1_Entrance_7,L4_R2_LL,106,"['L1_Entrance_7', 'L1_CP_zone_1', 'L1_Entrance_6', 'L1_R2_LL', 'L4_R2_LL']"
86,65b0de4f9a16a5f2,02/11/2021,yes,1613007174780,1613007362398,2021-02-10 20:32:54,2021-02-10 20:36:02,L4_R2_LL,L6_ELL,187,"['L4_R2_LL', 'L5_R2_LL', 'L6_R2_LL', 'L6_R2_LL_corridor', 'L6_Deck_4', 'L6_FC_walkway', 'L6_ST_5', 'L6_FC', 'L6_ST_4', 'L6_AAH_walkway', 'L6_ELL_corridor', 'L6_ELL']"
87,65b0de4f9a16a5f2,02/11/2021,yes,1613010235117,1613010418813,2021-02-10 21:23:55,2021-02-10 21:26:58,L6_ELL,L4_R2_LL,183,"['L6_ELL', 'L6_ELL_corridor', 'L6_AAH_walkway', 'L6_ST_4', 'L6_FC', 'L6_FC_walkway', 'L6_Deck_4', 'L6_R2_LL_corridor', 'L6_R2_LL', 'L5_R2_LL', 'L4_R2_LL']"
88,65b0de4f9a16a5f2,02/02/2021,yes,1612221469339,1612222610646,2021-02-01 18:17:49,2021-02-01 18:36:50,L4_R2_LL,L4_R2_deck,1141,"['L4_R2_LL', 'L1_R2_LL', 'L4_R2_LL', 'L4_R2_LL_corridor', 'L4_R2_deck']"
89,65b0de4f9a16a5f2,02/02/2021,yes,1612243889052,1612244001195,2021-02-02 00:31:29,2021-02-02 00:33:21,L4_R2_LL,L1_Entrance_7,112,"['L4_R2_LL', 'L1_R2_LL', 'L1_Entrance_6', 'L1_CP_zone_1', 'L1_Entrance_7']"
